model_id	插电式混动	柴油	汽油	油电混合	纯电动
3170			True		
692			True		
18			True		
4871			True		
2951			True		
4851			True		
19			True		
509			True		
812			True		
2731			True		
2733			True		
2735			True		
2737			True		
2994			True		
511			True		
2741			True		
370			True		
2730			True		
471			True		
538			True		
2732			True		
2734			True		
472			True		
2736			True		
2738			True		
412			True		
148			True		
2740			True		
2745		True	True		
385			True		
386			True		
3891			True		
582			True		
884			True		
2846			True		
2097			True		
3825			True		
4196			True		
179			True		
401			True		
4212			True		
4764			True		
588			True		
197			True		
3248			True		
3862			True		
2562			True		
3823			True		
2084			True		
2034			True		
52			True		
398			True		
2966			True		
56			True		
450			True		
365			True		
59			True		
3339			True		
3683			True		
60			True		
3688		True	True		
3278			True		
237			True		
595			True		
57		True	True		
467		True	True		
469			True		
300			True		
235			True		
683			True		
267			True		
2842			True		
2967			True		
2717			True		
2718			True		
2197			True		
3264			True		
4074			True		
3704			True		
2723			True		
3901			True		
3451			True		
2719			True		
2722			True		
2833			True		
914			True		
3665			True		
3104			True		
135			True		
3859			True		
4179			True		
5031			True		
4809			True	True	
3582			True		
314			True	True	
4304			True		
2565			True		
859			True	True	
81			True		
3876			True		
3085			True		
78			True	True	
3460			True		
4102			True		
880			True	True	
694			True		
449			True		
2168			True		
233			True		
4171			True		
3941			True		
66			True		
65			True		
2561			True		
4658			True		
3464			True		
373			True		
2963			True		
2968			True		
202			True		
4472			True		
153			True		
3386			True		
3053			True		
159			True		
587			True		
3362			True		
3726			True		
3230			True		
161			True		
270			True		
2847			True		
2196			True		
3189			True		
2726			True		
2727			True		
2728			True		
2729			True		
3357			True		
2725			True		
875			True		
3751			True		
982			True		
4552			True		
164			True		
834			True	True	
2896			True		
5200			True		
3554			True		
4487			True		
166			True		
525			True		
344			True		
407			True		
4900			True		
2806			True		
3781			True		
5178			True		
4802			True		
4279			True		
3780			True		
579			True		
417			True		
940			True		
927			True		
997			True		
3283			True		
2085			True		
540			True		
2091			True		
2944			True		
2088			True		
3059			True		
798			True		
489			True		
703			True		
2838			True		
172			True		
4175			True		
162			True		
168			True		
415			True		
4077			True		
4392			True		
4166			True		
4587			True		
4908			True		
4606			True		
3412			True		
3677			True		
155			True		
3774			True		
3343			True		
2236			True		
3068			True		
877			True		
987			True		
2299			True		
3234			True		
2619			True		
4167			True		
4271			True		
437			True		
688			True		
99			True		
3632			True		
184			True		
640			True		
277			True		
185			True		
186			True		
2472			True		
3800			True		
623		True	True		
2852			True		
901			True		
3014			True		
2685			True		
305			True		
306			True		
2791			True		
2787			True		
4987			True		
3839			True		
3928			True		
5261			True		
3417			True		
4923			True		
3795			True		
2252			True		
3557			True		
3794			True		
3427			True		
3673			True		
3695			True		
466			True		
2310			True		
5317			True		
4069			True		
4800			True		
3000			True		
632			True		
965			True		
3035		True	True		
2126			True		
622		True	True		
966			True		
2960		True	True		
2915		True	True		
4586		True	True		
852			True		
4046			True		
4520			True		
3913			True		
4009			True		
4154			True		
4553			True		
2482			True		True
3191			True		
3916			True		
3231			True		
2943			True		
4061			True		
3428			True		
3712			True		
3284			True		
3361			True		
4276			True		
3426			True		
4502			True		
3874			True		
4310			True		
3661			True		
4137			True		
3714			True		
4689			True		
4506			True		
3922			True		
3980			True		
4599			True		
4208			True		
3640			True		
4141			True		
4142			True		
76			True		
2478			True		
3058			True		
4261			True		
2683			True		
2446			True		
4511			True		
4164			True		
4298			True		
4173			True		
3217			True		
705			True		
2429			True		
4588			True		
4913			True		
2785			True		
3811			True		
3924			True		
2778			True		
4976			True		
4269			True		
3204			True		
4885			True		
3121			True		
4242			True		
2567			True		
484			True		
2046			True		
2045			True		
2119			True		
2788			True		
1008			True		
3422			True		
590			True		
520			True	True	
2462		True	True		
3101		True	True		
4889		True	True		
2459		True	True		
491			True		
2122			True		
2001			True		
493			True		
624			True		
492			True		
2090			True		
2120			True		
535			True		
2304			True		
6			True		
552		True	True		
2200			True		
536			True		
2653		True	True		
5281			True		
5367			True		
4517			True		
3893			True		
4660			True		
3783			True		
4376			True		
4886			True		
4978			True		
3685			True		
2566			True		True
3155			True		
2954			True		
2504			True		
2600			True		
2605			True		
3526			True		
3514			True		
2604			True		
2505			True		
3504			True		
3505			True		
3508			True		
4132			True		
4292			True		
5218			True		
5074			True		
2923		True	True		
4372			True		
3227			True		
4011			True		
4012			True		
2606			True		
3091			True		
4013			True		
4181			True		
3311			True		
4319			True		
4182			True		
5143			True		
145			True		
2922			True		
614			True		
3457			True		
528			True		
4045			True		
4993			True		
874			True		
4745			True		
4274			True		
4232			True		
5239			True		
333			True		
144			True		
3103			True		
3197			True		
826			True		
149			True		
207			True		
16			True		
633			True		
871			True		
442			True		
4204			True		
3964			True		
496			True		
905			True		
4674			True		
4744			True		
15		True	True		
360		True	True		
210			True		
372			True		
